transform,depth,residual_k,n_alleles,pds_S,pds_B,pds_S_lo,pds_S_hi,pds_B_lo,pds_B_hi,top1_S,top1_B,delta,delta_lo,delta_hi,signflip_p,alleles_delta_gt0,sib_margin_S,sib_margin_B,sib_delta_exact_p,sib_exact_p_floor
shifted_log_count,50000,0,18,0.9526143790849674,0.8376906318082789,0.9105392156862746,0.9841503267973857,0.7685723039215686,0.8994008714596949,0.7472222222222222,0.3736111111111111,0.11492374727668847,0.0724400871459695,0.16503336056644885,0.00019998000199980003,16,0.03244012446851192,0.017837412565148446,0.0625,0.0625
shifted_log_count,100000,0,18,0.9733660130718954,0.8505718954248367,0.9431352124183007,0.9950980392156864,0.7809620098039216,0.9118736383442266,0.8472222222222222,0.4194444444444445,0.1227941176470588,0.0763888888888889,0.17454044117647055,0.00019998000199980003,16,0.04395532129290004,0.022037922471748156,0.0625,0.0625
shifted_log_count,200000,0,18,0.9939542483660132,0.8695806100217865,0.9843137254901961,0.9999183006535949,0.802037037037037,0.9267701525054465,0.9541666666666665,0.4680555555555555,0.12437363834422659,0.07191993464052285,0.18529547930283224,9.999000099990002e-05,16,0.0583169320252492,0.026950813145925546,0.0625,0.0625
shifted_log_count,400000,0,18,1.0,0.8885348583877997,1.0,1.0,0.8242912581699346,0.9409055010893246,1.0,0.5009259259259259,0.1114651416122004,0.05909449891067533,0.17570874183006535,9.999000099990002e-05,16,0.07399284470976197,0.030875442706376554,0.0625,0.0625
shifted_log_count,250,1,18,0.6406862745098039,0.6150599128540305,0.6068627450980393,0.6766360294117648,0.5868464052287581,0.6423747276688453,0.11805555555555555,0.09305555555555556,0.02562636165577343,0.005201525054466237,0.047032271241830084,0.034896510348965105,12,0.0063001155444799535,0.0035714187225534834,0.0625,0.0625
shifted_log_count,500,1,18,0.698529411764706,0.6494825708061002,0.6573488562091503,0.7411008986928104,0.6098577069716776,0.6905814270152504,0.14166666666666666,0.11712962962962964,0.049046840958605696,0.031045751633986967,0.06636710239651417,9.999000099990002e-05,15,0.005469612430012339,0.003618327074415788,0.0625,0.0625
shifted_log_count,1000,1,18,0.7383986928104574,0.7084967320261437,0.6915032679738563,0.7860294117647058,0.651062091503268,0.7662615740740739,0.1847222222222222,0.1574074074074074,0.029901960784313716,0.014078839869281077,0.0468144063180828,0.0013998600139986002,15,0.007293514981835561,0.005351392123871987,0.1875,0.0625
shifted_log_count,2000,1,18,0.7791666666666667,0.7220043572984749,0.7235273692810459,0.8369281045751634,0.650136165577342,0.7954010076252722,0.25833333333333336,0.19259259259259254,0.05716230936819176,0.036409994553376936,0.07919458061002183,0.0004999500049995,16,0.00980282161197785,0.006442048799757555,0.0625,0.0625
shifted_log_count,5000,1,18,0.7891339869281047,0.7139705882352941,0.7184620098039217,0.8573529411764705,0.6271786492374728,0.8036220043572985,0.3111111111111111,0.21388888888888888,0.07516339869281044,0.046486247276688424,0.106318082788671,9.999000099990002e-05,17,0.012953532474782328,0.008348931300049068,0.0625,0.0625
shifted_log_count,10000,1,18,0.7991013071895424,0.7045206971677561,0.7267156862745099,0.8708333333333333,0.6062894880174291,0.804494825708061,0.3402777777777778,0.22546296296296303,0.09458061002178646,0.06105596405228749,0.1302852668845315,9.999000099990002e-05,18,0.015970250220886918,0.010530064728381954,0.0625,0.0625
