perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Quercetin | 100.0",False,False,False,-238.08,1730.58
"Quercetin | 1000.0",False,False,False,-561.772,2874.55
"Quercetin | 10000.0",False,False,False,-6.65333,3258.51
"RG108 | 10.0",False,False,False,2051.33,13387.7
"RG108 | 100.0",False,False,False,-73.1786,2748.52
"RG108 | 1000.0",False,False,False,-291.206,2151.01
"RG108 | 10000.0",False,False,False,-303.099,1849.05
"Raltitrexed | 1000.0",False,False,False,588.302,5587.13
"Raltitrexed | 10000.0",False,False,False,833.215,4516
"Ramelteon | 10.0",False,False,False,-460.935,3378.23
"Ramelteon | 100.0",False,False,False,29.2017,4098.11
"Ramelteon | 1000.0",False,False,False,-633.954,1892.26
"Ramelteon | 10000.0",False,False,False,404.51,6716.78
"Regorafenib (BAY 73-4506) | 10.0",False,False,False,-157.27,1849.35
"Regorafenib (BAY 73-4506) | 100.0",False,False,False,1126,6721.2
"Regorafenib (BAY 73-4506) | 1000.0",False,False,False,716.855,4762.22
"Resminostat | 10.0",False,False,False,700.074,5062.72
"Resminostat | 100.0",False,False,False,728.975,4674.66
"Resminostat | 1000.0",False,False,False,369.997,3621.26
"Resveratrol | 10.0",False,False,False,-147.644,3364.35
"Resveratrol | 100.0",False,False,False,1109.2,8094.72
"Resveratrol | 1000.0",False,False,False,144.1,3659.96
"Resveratrol | 10000.0",False,False,False,736.988,5493.17
"Rigosertib (ON-01910) | 10.0",False,False,False,796.359,5326.42
"Roscovitine (Seliciclib,CYC202) | 10.0",False,False,False,-736.658,1084.61
"Roscovitine (Seliciclib,CYC202) | 100.0",False,False,False,528.516,2851.34
"Roscovitine (Seliciclib,CYC202) | 1000.0",False,False,False,1449.36,7381.02
"Roscovitine (Seliciclib,CYC202) | 10000.0",False,False,False,601.645,3940.91
