perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Fulvestrant | 1000.0",False,False,False,2102.39,29333.6
"Fulvestrant | 10000.0",False,False,False,-3889.86,31592.6
"G007-LK | 10.0",False,False,False,-1303.15,30686.4
"G007-LK | 100.0",False,False,False,-10351.6,25525.4
"G007-LK | 1000.0",False,False,False,-706.401,25247.6
"G007-LK | 10000.0",False,False,False,-1293.99,43349
"GSK J1 | 10.0",False,False,False,4691.58,67646.9
"GSK J1 | 100.0",False,False,False,971.663,57855.8
"GSK J1 | 1000.0",False,False,False,1805.7,95108.2
"GSK J1 | 10000.0",False,False,False,-3785.68,38418.7
"GSK-LSD1 2HCl | 10.0",False,False,False,-3658.74,20833.7
"GSK-LSD1 2HCl | 100.0",False,False,False,-5492.11,32329.8
"GSK-LSD1 2HCl | 1000.0",False,False,False,-831.198,48884.6
"GSK-LSD1 2HCl | 10000.0",False,False,False,-364.794,57949.4
"GSK1070916 | 10.0",False,False,False,21194.3,107217
"GSK1070916 | 100.0",False,False,False,102707,307121
"GSK1070916 | 1000.0",False,False,False,35212.9,112137
"GSK1070916 | 10000.0",False,False,False,96299.6,141407
"Gandotinib (LY2784544) | 10.0",False,False,False,4690.02,75163.8
"Gandotinib (LY2784544) | 100.0",False,False,False,12825.2,86272.8
"Gandotinib (LY2784544) | 1000.0",False,False,False,7244.42,56229.4
"Gandotinib (LY2784544) | 10000.0",False,False,False,8195.9,43728.5
"Givinostat (ITF2357) | 10.0",False,False,False,-4973.85,68448.8
"Givinostat (ITF2357) | 100.0",False,False,False,-8911.06,18979
"Givinostat (ITF2357) | 1000.0",False,False,False,-3440.63,47769.7
"Givinostat (ITF2357) | 10000.0",True,False,False,-9316.95,32939.5
"Glesatinib?(MGCD265) | 10.0",False,False,False,28155.6,140085
"Glesatinib?(MGCD265) | 100.0",False,False,False,-350.65,51900.9
"Glesatinib?(MGCD265) | 1000.0",False,False,False,-5334.77,48664.8
"Glesatinib?(MGCD265) | 10000.0",False,False,False,46806.5,182438
"Hesperadin | 10.0",False,False,False,11555.3,98809.5
"Hesperadin | 100.0",False,False,False,1887.39,45971
"Hesperadin | 1000.0",False,False,False,945.408,54035.7
"Hesperadin | 10000.0",False,False,False,24432.5,83496.6
"INO-1001 (3-Aminobenzamide) | 10.0",False,False,False,-3083.53,34598.9
"INO-1001 (3-Aminobenzamide) | 100.0",False,False,False,-7537.93,18350.9
"INO-1001 (3-Aminobenzamide) | 1000.0",False,False,False,3744.2,63151.3
"INO-1001 (3-Aminobenzamide) | 10000.0",False,False,False,2888.2,113424
"IOX2 | 10.0",False,False,False,-3043.61,35791.8
"IOX2 | 100.0",False,False,False,-7363.71,20871.2
"IOX2 | 1000.0",False,False,False,1794.95,50677.6
"IOX2 | 10000.0",False,False,False,-7684.54,23718.2
"ITSA-1 (ITSA1) | 10.0",False,False,False,1062.47,50828.2
"ITSA-1 (ITSA1) | 100.0",False,False,False,-8217.7,27765.7
"ITSA-1 (ITSA1) | 1000.0",False,False,False,-3196.23,44728.7
"ITSA-1 (ITSA1) | 10000.0",False,False,False,-7883.39,36515.7
"Iniparib (BSI-201) | 10.0",False,False,False,-5356.18,38837.7
"Iniparib (BSI-201) | 100.0",False,False,False,-9609.26,15979
"Iniparib (BSI-201) | 1000.0",False,False,False,-8537.88,30573.3
"Iniparib (BSI-201) | 10000.0",False,False,False,3321.15,73632.8
"Ivosidenib (AG-120) | 10.0",False,False,False,37860.1,138185
"Ivosidenib (AG-120) | 100.0",False,False,False,-2866.67,59722.6
"Ivosidenib (AG-120) | 1000.0",False,False,False,-3742.08,49053.2
"Ivosidenib (AG-120) | 10000.0",False,False,False,10882.6,68921.4
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,324.728,38287.6
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,6985,59764.3
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,4957.38,44870.7
"JNJ-26854165 (Serdemetan) | 10000.0",False,False,False,15948.1,105875
"JNJ-7706621 | 10.0",False,False,False,-2303.66,39635.6
"JNJ-7706621 | 100.0",False,False,False,-5109.53,22889.9
"JNJ-7706621 | 1000.0",False,False,False,14839.5,81434.1
"JNJ-7706621 | 10000.0",False,False,False,2166.65,44892.1
"KW-2449 | 10.0",False,False,False,-892.293,49685.1
"KW-2449 | 100.0",False,False,False,-5772.87,36821.9
"KW-2449 | 1000.0",False,False,False,21229.1,85041.1
"KW-2449 | 10000.0",False,False,False,27823.4,170856
"Ki16425 | 10.0",False,False,False,10775.6,81141.9
"Ki16425 | 100.0",False,False,False,34.7814,58669.5
"Ki16425 | 1000.0",False,False,False,-2925.77,40393.1
"Ki16425 | 10000.0",False,False,False,-3532.48,54728.1
"Ki8751 | 10.0",False,False,False,2614.45,83708.7
"Ki8751 | 100.0",False,False,False,6272.12,66333.8
"Ki8751 | 1000.0",False,False,False,11218,52964.2
"Ki8751 | 10000.0",False,False,False,-10563.6,21266.1
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,-2317.48,49905.2
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,12811.4,126147
"Lapatinib (GW-572016) Ditosylate | 1000.0",False,False,False,2894.76,41380
"Lapatinib (GW-572016) Ditosylate | 10000.0",True,False,False,-12800,19698.3
"Lenalidomide (CC-5013) | 10.0",False,False,False,5544.41,47673.1
"Lenalidomide (CC-5013) | 100.0",False,False,False,5508.35,60243.6
"Lenalidomide (CC-5013) | 1000.0",False,False,False,10839.6,65788.2
"Lenalidomide (CC-5013) | 10000.0",False,False,False,-9025.83,9971.64
"Linifanib (ABT-869) | 10.0",False,False,False,-6367.11,34912.3
"Linifanib (ABT-869) | 100.0",False,False,False,-84.4844,72080
"Linifanib (ABT-869) | 1000.0",False,False,False,7134.25,57797.9
"Linifanib (ABT-869) | 10000.0",False,False,False,222.82,66173.5
"Lomustine  | 10.0",False,False,False,-1239.95,46292.4
"Lomustine  | 100.0",False,False,False,9260.44,68501.3
"Lomustine  | 1000.0",False,False,False,-3821.25,54950.6
"Lomustine  | 10000.0",False,False,False,-6045.81,31533.7
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,9411.35,58913.9
"Luminespib (AUY-922, NVP-AUY922) | 100.0",False,False,False,36197.1,107630
"Luminespib (AUY-922, NVP-AUY922) | 1000.0",True,False,False,250829,466893
"M344 | 10.0",False,False,False,18936.6,145447
"M344 | 100.0",True,False,False,4864.67,106712
"M344 | 1000.0",False,False,False,961.739,36359.3
"M344 | 10000.0",True,False,False,-438.483,53036.9
"MC1568 | 10.0",False,False,False,-5181.21,30245.3
"MC1568 | 100.0",False,False,False,-466.427,80151.6
"MC1568 | 1000.0",False,False,False,-423.797,60784.9
"MC1568 | 10000.0",False,False,False,6566.02,51380.1
"MK-0752 | 10.0",False,False,False,2974.29,87361.3
"MK-0752 | 100.0",False,False,False,-2859.55,32263.5
