perturbation,native_rankable,native_n_work,native_n_cells,matched50_rankable,matched50_n_work,matched50_n_cells,dataset,native_unrankable,matched50_unrankable
C1QTNF4,False,50,199,False,50,199,Replogle,1,1
C1orf109,False,100,240,False,50,240,Replogle,1,1
C6orf15,False,50,164,False,50,164,Replogle,1,1
C9orf16,False,100,212,False,50,212,Replogle,1,1
C9orf78,False,100,201,False,50,201,Replogle,1,1
CA5A,False,50,190,False,50,190,Replogle,1,1
CACNB3,False,100,316,False,50,316,Replogle,1,1
CADM4,False,100,381,False,50,381,Replogle,1,1
CASP8AP2,True,100,211,True,50,211,Replogle,0,0
CBLL1,False,50,102,False,50,102,Replogle,1,1
CBLN1,False,100,214,False,50,214,Replogle,1,1
CBX1,False,50,151,False,50,151,Replogle,1,1
CCDC115,False,100,211,False,50,211,Replogle,1,1
CCDC130,False,50,113,False,50,113,Replogle,1,1
CCDC137,False,50,198,False,50,198,Replogle,1,1
CCDC144A,False,50,117,False,50,117,Replogle,1,1
CCDC174,True,50,104,True,50,104,Replogle,0,0
CCDC59,True,50,125,True,50,125,Replogle,0,0
CCDC78,True,50,142,True,50,142,Replogle,0,0
CCDC86,True,100,253,True,50,253,Replogle,0,0
CCNB1,False,50,158,False,50,158,Replogle,1,1
CCND1,False,50,146,False,50,146,Replogle,1,1
CCNK,True,100,327,False,50,327,Replogle,0,1
CCNL1,False,50,177,False,50,177,Replogle,1,1
CCT2,True,50,199,True,50,199,Replogle,0,0
CCT3,True,100,234,True,50,234,Replogle,0,0
CCT4,True,100,251,True,50,251,Replogle,0,0
CCT6A,True,50,131,True,50,131,Replogle,0,0
CCT7,True,50,152,True,50,152,Replogle,0,0
CCT8,True,50,111,True,50,111,Replogle,0,0
CD2BP2,False,50,132,False,50,132,Replogle,1,1
CD8B,False,50,112,False,50,112,Replogle,1,1
CDAN1,False,50,137,False,50,137,Replogle,1,1
CDC123,True,50,112,True,50,112,Replogle,0,0
CDC16,False,50,165,False,50,165,Replogle,1,1
CDC20,False,50,115,False,50,115,Replogle,1,1
CDC23,True,50,177,True,50,177,Replogle,0,0
CDC27,False,100,366,False,50,366,Replogle,1,1
CDC37,False,50,174,False,50,174,Replogle,1,1
CDC40,False,50,107,False,50,107,Replogle,1,1
CDC6,True,50,192,True,50,192,Replogle,0,0
CDC73,True,50,171,True,50,171,Replogle,0,0
CDIPT,False,100,247,False,50,247,Replogle,1,1
CDK1,True,100,347,True,50,347,Replogle,0,0
CDK11A,False,100,269,False,50,269,Replogle,1,1
CDK2,False,50,105,False,50,105,Replogle,1,1
CDK9,True,50,140,True,50,140,Replogle,0,0
CEBPZ,True,50,113,True,50,113,Replogle,0,0
CENPC,True,50,124,True,50,124,Replogle,0,0
CENPE,True,50,177,True,50,177,Replogle,0,0
CENPJ,True,100,282,True,50,282,Replogle,0,0
CENPN,False,50,147,False,50,147,Replogle,1,1
CEP152,False,50,153,False,50,153,Replogle,1,1
CEP192,False,100,202,False,50,202,Replogle,1,1
CEP85,False,50,129,False,50,129,Replogle,1,1
CEP97,False,50,135,False,50,135,Replogle,1,1
CFDP1,False,50,157,False,50,157,Replogle,1,1
CHCHD4,True,50,140,True,50,140,Replogle,0,0
CHEK1,True,100,295,True,50,295,Replogle,0,0
CHMP3,True,50,130,True,50,130,Replogle,0,0
CHMP5,False,50,110,False,50,110,Replogle,1,1
CHMP6,True,200,624,True,50,624,Replogle,0,0
CHMP7,False,100,240,False,50,240,Replogle,1,1
