dataset,fpr,tpr,threshold
Replogle,0.11648568608094768,0.9181929181929182,0.3551709231204712
Replogle,0.11648568608094768,0.9230769230769231,0.3541026427799082
Replogle,0.11846001974333663,0.9230769230769231,0.35403813109334353
Replogle,0.11846001974333663,0.9242979242979243,0.3539253781526086
Replogle,0.1194471865745311,0.9242979242979243,0.3537266362816147
Replogle,0.1194471865745311,0.9267399267399268,0.35301896416856354
Replogle,0.12142152023692004,0.9267399267399268,0.3524721345722343
Replogle,0.12142152023692004,0.927960927960928,0.35213033328147597
Replogle,0.12240868706811452,0.927960927960928,0.352069412518461
Replogle,0.12240868706811452,0.9304029304029304,0.35118966986696903
Replogle,0.12438302073050346,0.9304029304029304,0.3506258539298938
Replogle,0.12438302073050346,0.9328449328449329,0.35000076655810813
Replogle,0.1263573543928924,0.9328449328449329,0.34959653031491106
Replogle,0.1263573543928924,0.9340659340659341,0.34958908934446237
Replogle,0.12833168805528133,0.9340659340659341,0.3489356278233487
Replogle,0.12833168805528133,0.9352869352869353,0.3488532666782919
Replogle,0.12931885488647582,0.9352869352869353,0.3483769659476709
Replogle,0.12931885488647582,0.9377289377289377,0.3468150248270358
Replogle,0.13129318854886476,0.9377289377289377,0.346744662264864
Replogle,0.13129318854886476,0.938949938949939,0.34668719151970306
Replogle,0.13228035538005922,0.938949938949939,0.3464334178585408
Replogle,0.13228035538005922,0.9401709401709402,0.34585962757833544
Replogle,0.1362290227048371,0.9401709401709402,0.3446927103362278
Replogle,0.1362290227048371,0.945054945054945,0.3442474090508998
Replogle,0.13820335636722605,0.945054945054945,0.34348322214563837
Replogle,0.13820335636722605,0.9499389499389499,0.34263002271742443
Replogle,0.13919052319842054,0.9499389499389499,0.34213140488622784
Replogle,0.13919052319842054,0.9511599511599511,0.3421185600493268
Replogle,0.140177690029615,0.9511599511599511,0.34154884316188927
Replogle,0.140177690029615,0.9523809523809523,0.34135954775199273
Replogle,0.14511352418558737,0.9523809523809523,0.33873402933031427
Replogle,0.14511352418558737,0.9536019536019537,0.3387116917473221
Replogle,0.14610069101678183,0.9536019536019537,0.3375368377624058
Replogle,0.14610069101678183,0.9548229548229549,0.33709703327818075
Replogle,0.14807502467917077,0.9548229548229549,0.3369882714690519
Replogle,0.14807502467917077,0.9560439560439561,0.33697281852371336
Replogle,0.15004935834155972,0.9560439560439561,0.33685371156856325
Replogle,0.15004935834155972,0.9572649572649573,0.33653747478701695
