source,gene,depth_m,n_var,eta2,rho2,rho2_nn_median,rho2_nn_median_lo,rho2_nn_median_hi,rho2_nn_geomean,frac_above_noise,nn_nonpositive,ceiling_pds,p_correct,p_winner,eff_rank,rho2_target,rank,hetero
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,5.0,0.0
dialled,TP53,25,45,37.625,0.04941,0.04175,0.03103,0.0533,,0.6867,3,0.6285,0.996,0.996,4.76,0.05,5.0,0.0
dialled,TP53,25,45,37.625,0.20005,0.08605,0.07073,0.09534,0.079605,0.8,0,0.836,1.0,1.0,4.76,0.2,5.0,0.0
dialled,TP53,25,45,37.625,0.60205,0.14899,0.12861,0.17064,0.145865,0.8822,0,0.9499,1.0,1.0,4.76,0.6,5.0,0.0
dialled,TP53,25,45,37.625,2.00961,0.37992,0.35823,0.41625,0.383153,0.9911,0,0.9863,0.848,0.942,4.76,2.0,5.0,0.0
dialled,TP53,25,45,37.625,6.03209,1.07287,1.03888,1.1418,1.080851,1.0,0,0.9969,0.0,0.0,4.76,6.0,5.0,0.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,5.0,1.0
dialled,TP53,25,45,37.625,0.05009,0.0197,0.00653,0.02945,,0.6022,12,0.589,0.634,0.76,3.35,0.05,5.0,1.0
dialled,TP53,25,45,37.625,0.20142,0.03882,0.02601,0.06293,,0.6978,7,0.6847,0.802,0.818,3.35,0.2,5.0,1.0
dialled,TP53,25,45,37.625,0.60443,0.07459,0.04957,0.12941,,0.8,2,0.7677,0.982,1.0,3.35,0.6,5.0,1.0
dialled,TP53,25,45,37.625,2.01395,0.15789,0.10359,0.29377,,0.8444,3,0.8465,0.986,0.986,3.35,2.0,5.0,1.0
dialled,TP53,25,45,37.625,6.03961,0.36622,0.23185,0.7515,0.39385,0.9311,0,0.8924,0.954,0.958,3.35,6.0,5.0,1.0
dialled,TP53,25,45,37.625,-0.00064,-0.00375,-0.00974,0.004,,0.4756,24,0.4974,0.0,0.006,,0.0,5.0,2.0
dialled,TP53,25,45,37.625,0.0503,0.00898,-0.00453,0.02001,,0.5556,17,0.5478,0.346,0.61,2.13,0.05,5.0,2.0
dialled,TP53,25,45,37.625,0.20184,0.0108,-0.00043,0.02233,,0.5711,16,0.5821,0.458,0.808,2.13,0.2,5.0,2.0
