gene,arm,method,K,n_var,pds,ci_lo,ci_hi
GATA1,random,RF-esm,5,172,0.49739,0.45869,0.53517
GATA1,random,RF-esm,10,172,0.49782,0.46014,0.53955
GATA1,random,RF-esm,20,172,0.4975,0.45866,0.53511
GATA1,random,RF-esm,25,172,0.4978,0.45953,0.53788
GATA1,random,RF-esm,45,172,0.49754,0.46077,0.53728
GATA1,random,RF-esm,90,172,0.49745,0.4581,0.53775
GATA1,random,RF-esm,254,172,0.49749,0.45774,0.53615
GATA1,random,RF-esm+theta,5,172,0.49789,0.45719,0.53753
GATA1,random,RF-esm+theta,10,172,0.49807,0.45735,0.53729
GATA1,random,RF-esm+theta,20,172,0.49778,0.45901,0.53887
GATA1,random,RF-esm+theta,25,172,0.49764,0.45958,0.53721
GATA1,random,RF-esm+theta,45,172,0.49753,0.45748,0.5352
GATA1,random,RF-esm+theta,90,172,0.49746,0.45794,0.53774
GATA1,random,RF-esm+theta,254,172,0.49759,0.45901,0.53608
GATA1,random,RF-theta,5,172,0.50053,0.46125,0.54007
GATA1,random,RF-theta,10,172,0.49959,0.46208,0.5391
GATA1,random,RF-theta,20,172,0.49965,0.4617,0.53895
GATA1,random,RF-theta,25,172,0.49984,0.46165,0.53739
GATA1,random,RF-theta,45,172,0.49971,0.46158,0.53794
GATA1,random,RF-theta,90,172,0.49975,0.46141,0.53715
GATA1,random,RF-theta,254,172,0.49955,0.46224,0.53618
GATA1,random,Ridge-esm,5,172,0.49982,0.46113,0.53625
GATA1,random,Ridge-esm,10,172,0.50053,0.46163,0.539
GATA1,random,Ridge-esm,20,172,0.5002,0.45946,0.53937
GATA1,random,Ridge-esm,25,172,0.50023,0.45699,0.54071
GATA1,random,Ridge-esm,45,172,0.50033,0.45939,0.54067
GATA1,random,Ridge-esm,90,172,0.50021,0.462,0.54043
GATA1,random,Ridge-esm,254,172,0.50034,0.46024,0.53868
GATA1,random,Ridge-esm+theta,5,172,0.49756,0.45984,0.53784
GATA1,random,Ridge-esm+theta,10,172,0.4989,0.45948,0.53837
GATA1,random,Ridge-esm+theta,20,172,0.49823,0.45762,0.5392
GATA1,random,Ridge-esm+theta,25,172,0.49863,0.45827,0.53945
GATA1,random,Ridge-esm+theta,45,172,0.49814,0.45827,0.5359
GATA1,random,Ridge-esm+theta,90,172,0.4985,0.4605,0.5365
GATA1,random,Ridge-esm+theta,254,172,0.49847,0.45747,0.53685
GATA1,random,Ridge-theta,5,172,0.49728,0.45863,0.53712
GATA1,random,Ridge-theta,10,172,0.4978,0.45719,0.53703
GATA1,random,Ridge-theta,20,172,0.49745,0.45906,0.5362
GATA1,random,Ridge-theta,25,172,0.49729,0.45739,0.53427
GATA1,random,Ridge-theta,45,172,0.49764,0.45962,0.53688
GATA1,random,Ridge-theta,90,172,0.4974,0.45921,0.53655
GATA1,random,Ridge-theta,254,172,0.49751,0.45717,0.53683
GATA1,random,WT-null,5,172,0.5,0.5,0.5
GATA1,random,WT-null,10,172,0.5,0.5,0.5
GATA1,random,WT-null,20,172,0.5,0.5,0.5
GATA1,random,WT-null,25,172,0.5,0.5,0.5
GATA1,random,WT-null,45,172,0.5,0.5,0.5
GATA1,random,WT-null,90,172,0.5,0.5,0.5
GATA1,random,WT-null,254,172,0.5,0.5,0.5
GATA1,random,scGen,5,172,0.48612,0.44697,0.52577
GATA1,random,scGen,10,172,0.48675,0.44668,0.52759
GATA1,random,scGen,20,172,0.48626,0.447,0.52737
GATA1,random,scGen,25,172,0.48643,0.44643,0.52715
GATA1,random,scGen,45,172,0.48611,0.44385,0.52616
GATA1,random,scGen,90,172,0.48621,0.4472,0.52458
GATA1,random,scGen,254,172,0.4862,0.448,0.52536
GATA1,random,scVIDR,5,172,0.48708,0.44597,0.52633
GATA1,random,scVIDR,10,172,0.48758,0.45094,0.52775
GATA1,random,scVIDR,20,172,0.48768,0.44813,0.52746
GATA1,random,scVIDR,25,172,0.48741,0.44725,0.52634
GATA1,random,scVIDR,45,172,0.48746,0.44809,0.52864
GATA1,random,scVIDR,90,172,0.48752,0.44941,0.52782
GATA1,random,scVIDR,254,172,0.48758,0.44743,0.52582
GATA1,random,split-half measurement,5,172,0.57796,0.55255,0.60335
GATA1,random,split-half measurement,10,172,0.57732,0.55179,0.6035
GATA1,random,split-half measurement,20,172,0.57762,0.55224,0.60333
GATA1,random,split-half measurement,25,172,0.57779,0.55204,0.60488
GATA1,random,split-half measurement,45,172,0.57768,0.55226,0.60446
GATA1,random,split-half measurement,90,172,0.57746,0.55093,0.60443
GATA1,random,split-half measurement,254,172,0.57763,0.55157,0.60448
JAK1,hard,Biolord,5,26,0.18483,0.10406,0.27202
JAK1,hard,Biolord,10,26,0.25719,0.16479,0.36498
JAK1,hard,Biolord,20,26,0.41536,0.30557,0.53498
JAK1,hard,Biolord,25,26,0.47991,0.37052,0.58853
JAK1,hard,Biolord,26,26,0.49226,0.37579,0.59923
JAK1,hard,CellFlow,5,21,0.12659,0.04048,0.23022
JAK1,hard,CellFlow,10,21,0.23909,0.12833,0.36138
JAK1,hard,CellFlow,20,21,0.43464,0.31283,0.55374
JAK1,hard,CellFlow,25,21,0.51598,0.39607,0.63201
JAK1,hard,CellFlow,26,21,0.53153,0.41703,0.64522
JAK1,hard,GBoost-esm,5,23,0.34481,0.23561,0.46403
JAK1,hard,GBoost-esm,10,23,0.36731,0.25872,0.47743
JAK1,hard,GBoost-esm,20,23,0.42916,0.33424,0.53296
JAK1,hard,GBoost-esm,25,23,0.44235,0.34787,0.53404
JAK1,hard,GBoost-esm,26,23,0.44789,0.36516,0.5337
JAK1,hard,GBoost-esm+theta,5,23,0.37452,0.26521,0.48563
JAK1,hard,GBoost-esm+theta,10,23,0.39275,0.28706,0.49281
JAK1,hard,GBoost-esm+theta,20,23,0.44563,0.3527,0.53743
JAK1,hard,GBoost-esm+theta,25,23,0.45081,0.36185,0.53319
JAK1,hard,GBoost-esm+theta,26,23,0.45518,0.37087,0.53292
JAK1,hard,GBoost-theta,5,26,0.36458,0.28718,0.43697
JAK1,hard,GBoost-theta,10,26,0.36804,0.2877,0.44113
JAK1,hard,GBoost-theta,20,26,0.42096,0.33634,0.50169
JAK1,hard,GBoost-theta,25,26,0.42983,0.34781,0.51255
JAK1,hard,GBoost-theta,26,26,0.43612,0.35004,0.51183
JAK1,hard,Gene-mean,5,26,0.27821,0.20342,0.35541
JAK1,hard,Gene-mean,10,26,0.30995,0.2348,0.38785
JAK1,hard,Gene-mean,20,26,0.39561,0.30823,0.48898
JAK1,hard,Gene-mean,25,26,0.40849,0.32259,0.49387
JAK1,hard,Gene-mean,26,26,0.41318,0.32258,0.49424
JAK1,hard,KNN-esm,5,23,0.30713,0.22536,0.3913
JAK1,hard,KNN-esm,10,23,0.34707,0.25908,0.43844
JAK1,hard,KNN-esm,20,23,0.43738,0.3417,0.53394
JAK1,hard,KNN-esm,25,23,0.44715,0.35671,0.53356
JAK1,hard,KNN-esm,26,23,0.45157,0.36346,0.54167
JAK1,hard,KNN-esm+theta,5,23,0.29275,0.22957,0.36015
JAK1,hard,KNN-esm+theta,10,23,0.3263,0.24911,0.40564
JAK1,hard,KNN-esm+theta,20,23,0.42616,0.34217,0.50611
JAK1,hard,KNN-esm+theta,25,23,0.44109,0.3537,0.52359
JAK1,hard,KNN-esm+theta,26,23,0.44732,0.36611,0.52453
JAK1,hard,KNN-theta,5,26,0.31026,0.24369,0.37452
JAK1,hard,KNN-theta,10,26,0.32778,0.25526,0.3992
JAK1,hard,KNN-theta,20,26,0.39549,0.30753,0.48186
