perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"drospirenone|0.05",False,False,False,1721.56,5681.72
"drospirenone|0.5",True,False,False,-87.3945,3365.17
"drospirenone|5.0",True,False,False,5003.14,9922.58
"dt-061|0.05",False,False,False,4494.31,11988
"dt-061|0.5",False,False,False,1682.21,11602.2
"dt-061|5.0",True,False,False,-470.202,2532.63
"dtp3|0.05",True,False,False,3502.55,4921.99
"dtp3|0.5",True,False,False,1872.75,5642.5
"dtp3|5.0",True,False,False,-546.318,1458.27
"econazole|0.05",False,False,False,4577.91,14488.9
"econazole|0.5",True,False,False,2611.12,9649.07
"econazole|5.0",False,False,False,4291.97,8453
"edoxaban|0.05",False,False,False,2218.11,8520.35
"edoxaban|0.5",False,False,False,1860.34,4182.51
"edoxaban|5.0",True,False,False,2199.58,6899.55
"elagolix sodium|0.05",True,False,False,171.918,4220.86
"elagolix sodium|0.5",True,False,False,-523.738,2499.41
"elagolix sodium|5.0",False,False,False,1263.04,5296.75
"elimusertib hydrochloride|0.05",False,False,False,73.1785,2213.5
"elimusertib hydrochloride|0.5",False,False,False,273.235,4029.45
"elimusertib hydrochloride|5.0",True,False,False,-736.938,1830.42
"encorafenib|0.05",True,False,False,-380.909,2544.98
"encorafenib|5.0",False,False,False,1046.74,4873.76
"entecavir|0.05",True,False,False,-283.407,2269.87
"entecavir|0.5",True,False,False,614.875,3755.76
"entecavir|5.0",True,False,False,1135.67,5512.44
"entrectinib|0.05",True,False,False,2654.69,10477.9
"entrectinib|0.5",True,False,False,661.056,4288.59
"entrectinib|5.0",True,False,False,1725.67,7570.07
"epirubicin|0.05",False,False,False,2044.32,8014.1
"epirubicin|0.5",True,False,False,7385.55,14877.8
"epirubicin|5.0",True,False,False,-58.784,3346.08
"eplerenone|0.05",True,False,False,-428.668,4002.84
"eplerenone|0.5",False,False,False,218.337,1962.81
"eplerenone|5.0",True,False,False,936.749,6756.4
"erdafitinib|0.05",True,False,False,722.298,6664.43
"erdafitinib|5.0",True,False,False,-175.751,3111.23
"erk5-in-2|0.05",True,False,False,1171.83,4468.78
"erk5-in-2|0.5",True,False,False,92.3982,2624.14
"erk5-in-2|5.0",False,False,False,1600.55,6220.85
"erlotinib|0.05",False,False,False,108.097,2702.06
"erlotinib|0.5",False,False,False,1315.38,6135.87
"erlotinib|5.0",True,False,False,1462.33,5361.2
"erythromycin|0.05",True,False,False,1695.01,5886.4
"erythromycin|0.5",False,False,False,693.158,2668.95
"erythromycin|5.0",False,False,False,1658.7,6350.72
"esmolol|0.05",True,False,False,733.34,3331.72
"esmolol|0.5",True,False,False,428.462,3760.98
"esmolol|5.0",True,False,False,4727.4,25011.1
"estrone sulfate|0.05",True,False,False,1558.35,8450.34
"estrone sulfate|0.5",True,False,False,-411.155,2161.43
"estrone sulfate|5.0",False,False,False,-747.102,1401.19
"etc-206|0.05",True,False,False,1230.99,7499.51
"etc-206|0.5",False,False,False,2618.58,7495.3
"etc-206|5.0",True,False,False,364.781,5946.03
"everolimus|0.05",True,False,False,138.425,2251.62
"everolimus|0.5",False,False,False,1557.16,5215.65
"everolimus|5.0",True,False,False,-401.606,1733.98
"ex229|0.05",False,False,False,500.299,3151.92
"ex229|0.5",True,False,False,915.439,3656.98
"ex229|5.0",True,False,False,-241.346,2297.08
"fedratinib|0.05",True,False,False,1217.59,5916.3
"fedratinib|0.5",True,False,False,216.384,4373.03
"fedratinib|5.0",True,False,False,-911.904,1271.65
"fenofibrate|0.05",True,False,False,887.488,5844.41
"fenofibrate|0.5",False,False,False,904.652,6980.66
"fenofibrate|5.0",True,False,False,-461.126,2361.19
"ferulic acid|0.05",True,False,False,1301.53,9512.17
"ferulic acid|0.5",True,False,False,2506.68,8300.97
"ferulic acid|5.0",False,False,False,2087.37,6965.98
"filgotinib|0.05",True,False,False,1896.08,6925.72
"filgotinib|0.5",True,False,False,748.846,5317.34
"filgotinib|5.0",False,False,False,2306.8,5511.97
"finasteride|0.05",True,False,False,518.606,4986.2
"finasteride|0.5",False,False,False,1554.75,5921.71
"finasteride|5.0",False,False,False,3343.29,9802.88
"fingolimod|0.05",False,False,False,1281.49,5512.75
"fingolimod|0.5",True,False,False,-356.555,2615.15
"fingolimod|5.0",True,False,False,80.9795,3577.44
"flumatinib|0.05",False,False,False,2125.58,7983.37
"flumatinib|0.5",False,False,False,-88.3573,3213.47
"flumatinib|5.0",False,False,False,1413.67,8968.63
"flutamide|0.05",False,False,False,1369.09,4309.36
"flutamide|0.5",True,False,False,152.892,4394.92
"flutamide|5.0",False,False,False,649.503,5656.12
"fluvoxamine|0.05",True,False,False,1670.26,7397.57
"fluvoxamine|0.5",True,False,False,5800.29,18927.3
"fluvoxamine|5.0",False,False,False,2898.8,14658.6
"folic acid|0.05",True,False,False,1030.36,3610.71
"folic acid|0.5",True,False,False,1957.39,5426.31
"folic acid|5.0",True,False,False,5247.62,8958.78
"fostamatinib|0.05",True,False,False,1019.44,7375.04
"fostamatinib|0.5",True,False,False,-183.448,1791.13
"fostamatinib|5.0",False,False,False,556.584,4443.41
"fulvestrant|0.05",True,False,False,1326.05,7720.43
"fulvestrant|0.5",True,False,False,805.912,3977.99
"fulvestrant|5.0",True,False,False,450.22,1801.51
"fumaric acid|0.05",False,False,False,1389.54,6749.82
"fumaric acid|0.5",False,False,False,872.986,3413.55
"fumaric acid|5.0",False,False,False,1194.14,6417.9
"furosemide|0.05",False,False,False,1298.97,4481.81
"furosemide|0.5",True,False,False,249.335,4348.95
"furosemide|5.0",False,False,False,2841.69,6855.19
"fusidic acid|0.05",False,False,False,1151.04,4648.81
"fusidic acid|0.5",True,False,False,1541.74,4651.37
"fusidic acid|5.0",False,False,False,2175.97,9597.06
"futibatinib|0.05",True,False,False,2083.92,4221.16
"futibatinib|0.5",True,False,False,1396.52,5998.33
"futibatinib|5.0",True,False,False,647.882,3793.38
"gallic acid|0.05",True,False,False,739.766,3697.13
"gallic acid|0.5",True,False,False,195.938,2374.31
"gallic acid|5.0",True,False,False,2801.19,9080.36
"gefitinib|0.05",False,False,False,180.329,4872.33
"gefitinib|0.5",False,False,False,807.474,5018.28
"gefitinib|5.0",False,False,False,1585.86,7562.63
"gemcitabine|0.05",False,False,False,1339.22,5401.87
"gemcitabine|0.5",False,False,False,6320.78,20894.8
"gemcitabine|5.0",True,False,False,-205.757,1834.81
"gemfibrozil|0.05",True,False,False,-407.451,3072.07
"gemfibrozil|0.5",True,False,False,253.434,2598.19
"gemfibrozil|5.0",True,False,False,-288.002,2208.17
"glasdegib|0.05",True,False,False,1361.58,6638.41
"glasdegib|0.5",True,False,False,711.762,3972.1
"glasdegib|5.0",False,False,False,2062.31,8868.37
"glycyrrhizic acid|0.05",True,False,False,12.8035,2480.49
"glycyrrhizic acid|0.5",False,False,False,-210.353,1454.18
"glycyrrhizic acid|5.0",True,False,False,1219.25,4789.67
"goserelin|0.05",False,False,False,5839.34,16679.6
"goserelin|0.5",False,False,False,266.546,1862.64
"goserelin|5.0",True,False,False,7707.06,26873.3
"gsk1059615|0.05",True,False,False,298.603,3453.08
"gsk1059615|0.5",True,False,False,-523.937,2495.34
"gsk1059615|5.0",False,False,False,741.968,2918.28
"harringtonine|0.05",True,False,False,2299.09,12559.3
"harringtonine|0.5",True,False,False,4591.24,9887.53
"harringtonine|5.0",True,True,True,9452.27,9169.08
"hesperidin|0.05",True,False,False,1291.2,8449.01
"hesperidin|0.5",True,False,False,241.091,4098.22
"hesperidin|5.0",True,False,False,312.938,2489.95
"hexylresorcinol|0.05",True,False,False,2057.82,4663.16
"hexylresorcinol|0.5",True,False,False,1836.09,7823.77
"hexylresorcinol|5.0",True,False,False,2061.97,4631.61
"hi-topk-032|0.05",True,False,False,4472.17,12574.9
"hi-topk-032|0.5",False,False,False,1005.7,4532.88
"hi-topk-032|5.0",True,False,False,1116.63,3819.79
"homoharringtonine|0.05",True,False,False,1220.42,7308.31
"homoharringtonine|0.5",True,False,False,2997.34,6926.37
"homoharringtonine|5.0",True,False,False,8364.78,16920.4
