perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Entinostat (MS-275) | 100.0",False,False,False,4000.98,36945.6
"Entinostat (MS-275) | 1000.0",False,False,False,9153.94,100250
"Entinostat (MS-275) | 10000.0",False,False,False,7039.1,63710.3
"Enzastaurin (LY317615) | 10.0",False,False,False,-7170.13,39281.4
"Enzastaurin (LY317615) | 100.0",False,False,False,7264.8,91381.8
"Enzastaurin (LY317615) | 1000.0",False,False,False,4969.81,95024.3
"Enzastaurin (LY317615) | 10000.0",False,False,False,-1065.3,31777.2
"Epothilone A | 10.0",False,False,False,131.474,30794.9
"FLLL32 | 10.0",False,False,False,-11394.1,20673.8
"FLLL32 | 100.0",False,False,False,-8840.3,26269.5
"FLLL32 | 1000.0",False,False,False,6897.26,128706
"FLLL32 | 10000.0",True,False,False,29817.3,180443
"Fasudil (HA-1077) HCl | 10.0",False,False,False,-8118.93,38202
"Fasudil (HA-1077) HCl | 100.0",False,False,False,-4262.98,42707.9
"Fasudil (HA-1077) HCl | 1000.0",False,False,False,9329.34,63174.9
"Fasudil (HA-1077) HCl | 10000.0",False,False,False,2000.92,45543.8
"Fedratinib (SAR302503, TG101348) | 10.0",False,False,False,3366.73,34096.2
"Fedratinib (SAR302503, TG101348) | 100.0",False,False,False,4966.01,64379.1
"Fedratinib (SAR302503, TG101348) | 1000.0",False,False,False,-5932.4,26600.5
"Fedratinib (SAR302503, TG101348) | 10000.0",True,False,False,-4727.59,60418.5
"Filgotinib (GLPG0634) | 10.0",False,False,False,7479.89,81915.3
"Filgotinib (GLPG0634) | 100.0",False,False,False,-756.459,38256.6
"Filgotinib (GLPG0634) | 1000.0",False,False,False,5309.26,66812.3
"Filgotinib (GLPG0634) | 10000.0",False,False,False,436.929,40011.8
"Flavopiridol HCl | 10.0",False,False,False,29582,173162
"Flavopiridol HCl | 100.0",False,False,False,15579.4,86573.6
"Fluorouracil (5-Fluoracil, 5-FU) | 10.0",False,False,False,-9240.07,25175.5
"Fluorouracil (5-Fluoracil, 5-FU) | 100.0",False,False,False,-856.221,53534
