perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Mesna  | 10000.0",False,False,False,2438.72,8844.01
"Mocetinostat (MGCD0103) | 100.0",False,False,False,726.248,8359.07
"Mocetinostat (MGCD0103) | 1000.0",False,False,False,3298.91,21287.7
"Momelotinib (CYT387) | 10.0",False,False,False,-1133.81,3611.44
"Momelotinib (CYT387) | 100.0",False,False,False,1636.54,12734.6
"Momelotinib (CYT387) | 1000.0",False,False,False,-58.2318,6151.45
"Motesanib Diphosphate (AMG-706) | 10.0",False,False,False,3946.11,14704
"Motesanib Diphosphate (AMG-706) | 100.0",False,False,False,-1029.12,4883.72
"Motesanib Diphosphate (AMG-706) | 1000.0",False,False,False,-900.448,4403.42
"Motesanib Diphosphate (AMG-706) | 10000.0",False,False,False,-519.207,5143.42
"NVP-BSK805 2HCl | 10.0",False,False,False,-363.66,2576.82
"NVP-BSK805 2HCl | 100.0",False,False,False,553.453,8873.43
"NVP-BSK805 2HCl | 1000.0",False,False,False,7127.53,13909.8
"NVP-BSK805 2HCl | 10000.0",False,False,False,2068.18,9099.5
"Navitoclax (ABT-263) | 100.0",False,False,False,-636.39,4513.3
"Navitoclax (ABT-263) | 1000.0",False,False,False,223.921,8371.5
"Nilotinib (AMN-107) | 10.0",False,False,False,-341.194,6829.67
"Nilotinib (AMN-107) | 100.0",False,False,False,2949.93,19409
"Nilotinib (AMN-107) | 1000.0",False,False,False,3437.67,20254.5
"Nilotinib (AMN-107) | 10000.0",False,False,False,1111.15,10124.5
"Nintedanib (BIBF 1120) | 10.0",False,False,False,283.547,12930.8
"Nintedanib (BIBF 1120) | 100.0",False,False,False,-39.0757,5705.28
"Nintedanib (BIBF 1120) | 1000.0",False,False,False,2829.36,17175.4
"Obatoclax Mesylate (GX15-070) | 10.0",True,False,False,-608.474,6654.02
"Obatoclax Mesylate (GX15-070) | 100.0",True,False,False,-822.552,4409.28
"Obatoclax Mesylate (GX15-070) | 1000.0",False,False,False,4767.04,18314.1
"Ofloxacin | 100.0",False,False,False,5365.48,27141.7
"PCI-34051 | 100.0",False,False,False,-1100.51,2767.99
"PD173074 | 10.0",False,False,False,-197.103,5668.73
"PD173074 | 100.0",False,False,False,1213.2,9308.34
"PD173074 | 1000.0",False,False,False,412.276,6092.41
"PD173074 | 10000.0",False,False,False,-120.762,8180.43
"PD98059 | 10.0",False,False,False,-99.3572,8375.58
