method,split,gene,metric,n_test,obs_pds,null_mean,null_lo,null_hi,p_above_obs
Ridge-esm+theta,split1,JAK1,PDS_cos,7,0.5,0.4995,0.4762,0.5238,0.76
Ridge-esm+theta,split1,JAK1,PDS_L1,7,0.5238,0.5002,0.4524,0.5714,0.286
Ridge-esm+theta,split1,JAK1,PDS_L2,7,0.5,0.5004,0.4524,0.5952,0.531
Lasso-theta,split1,JAK1,PDS_cos,9,0.5,0.4995,0.4722,0.5278,0.628
Lasso-theta,split1,JAK1,PDS_L1,9,0.5139,0.4992,0.4444,0.5556,0.386
Lasso-theta,split1,JAK1,PDS_L2,9,0.4861,0.4993,0.4444,0.5417,0.695
Lasso-esm,split1,JAK1,PDS_cos,7,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split1,JAK1,PDS_L1,7,0.5238,0.4992,0.4524,0.5476,0.45
Lasso-esm,split1,JAK1,PDS_L2,7,0.5238,0.4999,0.4524,0.5476,0.465
Lasso-esm+theta,split1,JAK1,PDS_cos,7,0.5,0.5002,0.4762,0.5238,0.866
Lasso-esm+theta,split1,JAK1,PDS_L1,7,0.5238,0.4972,0.4524,0.5476,0.24
Lasso-esm+theta,split1,JAK1,PDS_L2,7,0.5,0.4983,0.4286,0.5714,0.602
RF-theta,split1,JAK1,PDS_cos,9,0.5,0.5004,0.4722,0.5278,0.675
RF-theta,split1,JAK1,PDS_L1,9,0.5833,0.5013,0.4444,0.5972,0.082
RF-theta,split1,JAK1,PDS_L2,9,0.5972,0.4999,0.4306,0.6111,0.081
RF-esm,split1,JAK1,PDS_cos,7,0.5,0.5012,0.4524,0.5476,0.607
RF-esm,split1,JAK1,PDS_L1,7,0.6429,0.4989,0.4048,0.6429,0.049
RF-esm,split1,JAK1,PDS_L2,7,0.6429,0.5032,0.4048,0.6429,0.065
RF-esm+theta,split1,JAK1,PDS_cos,7,0.5,0.5001,0.4762,0.5238,0.708
RF-esm+theta,split1,JAK1,PDS_L1,7,0.5952,0.5002,0.4286,0.5952,0.054
RF-esm+theta,split1,JAK1,PDS_L2,7,0.5952,0.502,0.4524,0.619,0.058
GBoost-theta,split1,JAK1,PDS_cos,9,0.5,0.4993,0.4444,0.5417,0.608
GBoost-theta,split1,JAK1,PDS_L1,9,0.6667,0.502,0.4028,0.6528,0.02
GBoost-theta,split1,JAK1,PDS_L2,9,0.6667,0.5031,0.4028,0.6667,0.029
GBoost-esm,split1,JAK1,PDS_cos,7,0.4762,0.5008,0.381,0.6667,0.626
GBoost-esm,split1,JAK1,PDS_L1,7,0.619,0.5027,0.381,0.6429,0.166
GBoost-esm,split1,JAK1,PDS_L2,7,0.619,0.5017,0.3571,0.6429,0.18
GBoost-esm+theta,split1,JAK1,PDS_cos,7,0.5,0.5035,0.381,0.619,0.604
GBoost-esm+theta,split1,JAK1,PDS_L1,7,0.619,0.4935,0.3333,0.6667,0.196
GBoost-esm+theta,split1,JAK1,PDS_L2,7,0.619,0.5009,0.3333,0.6429,0.191
KNN-theta,split1,JAK1,PDS_cos,9,0.5139,0.5,0.4722,0.5278,0.308
KNN-theta,split1,JAK1,PDS_L1,9,0.5833,0.5005,0.4306,0.5972,0.171
KNN-theta,split1,JAK1,PDS_L2,9,0.5972,0.4978,0.4167,0.6111,0.072
KNN-esm,split1,JAK1,PDS_cos,7,0.5238,0.5029,0.4286,0.5714,0.544
KNN-esm,split1,JAK1,PDS_L1,7,0.619,0.4999,0.3333,0.619,0.138
KNN-esm,split1,JAK1,PDS_L2,7,0.619,0.4968,0.3095,0.6429,0.181
KNN-esm+theta,split1,JAK1,PDS_cos,7,0.5238,0.501,0.4762,0.5238,0.249
KNN-esm+theta,split1,JAK1,PDS_L1,7,0.5,0.4991,0.4286,0.5238,0.846
KNN-esm+theta,split1,JAK1,PDS_L2,7,0.5,0.498,0.4286,0.5238,0.84
MLP-theta,split1,JAK1,PDS_cos,9,0.5,0.5006,0.4861,0.5139,0.767
MLP-theta,split1,JAK1,PDS_L1,9,0.5972,0.5014,0.4306,0.5972,0.041
MLP-theta,split1,JAK1,PDS_L2,9,0.5833,0.4997,0.4306,0.5833,0.049
MLP-esm,split1,JAK1,PDS_cos,7,0.5,0.5,0.5,0.5,1.0
MLP-esm,split1,JAK1,PDS_L1,7,0.5476,0.5008,0.4286,0.5476,0.241
MLP-esm,split1,JAK1,PDS_L2,7,0.5476,0.5002,0.4048,0.5714,0.323
MLP-esm+theta,split1,JAK1,PDS_cos,7,0.5,0.4998,0.4756,0.5238,0.752
MLP-esm+theta,split1,JAK1,PDS_L1,7,0.5952,0.5009,0.4286,0.5952,0.018
MLP-esm+theta,split1,JAK1,PDS_L2,7,0.5238,0.4998,0.4286,0.5952,0.263
Gene-mean,split1,JAK1,PDS_cos,9,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,JAK1,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
Gene-mean,split1,JAK1,PDS_L2,9,0.5,0.5,0.5,0.5,1.0
WT-null,split1,JAK1,PDS_cos,9,0.5,0.5,0.5,0.5,1.0
WT-null,split1,JAK1,PDS_L1,9,0.5,0.5,0.5,0.5,1.0
WT-null,split1,JAK1,PDS_L2,9,0.5,0.5,0.5,0.5,1.0
Ridge-theta,split2,TP53,PDS_cos,49,0.5064,0.4999,0.4749,0.5255,0.33
Ridge-theta,split2,TP53,PDS_L1,49,0.5106,0.4996,0.4724,0.5298,0.219
Ridge-theta,split2,TP53,PDS_L2,49,0.5038,0.5003,0.4728,0.5272,0.412
Ridge-esm,split2,TP53,PDS_cos,49,0.4996,0.5,0.497,0.5026,0.646
Ridge-esm,split2,TP53,PDS_L1,49,0.4957,0.4999,0.4957,0.5034,0.981
Ridge-esm,split2,TP53,PDS_L2,49,0.4974,0.5,0.4962,0.5038,0.87
Ridge-esm+theta,split2,TP53,PDS_cos,49,0.5034,0.4999,0.4736,0.5247,0.394
Ridge-esm+theta,split2,TP53,PDS_L1,49,0.5089,0.5004,0.4728,0.5328,0.27
Ridge-esm+theta,split2,TP53,PDS_L2,49,0.5,0.5003,0.4724,0.5268,0.488
Lasso-theta,split2,TP53,PDS_cos,49,0.5013,0.5,0.4974,0.5026,0.203
Lasso-theta,split2,TP53,PDS_L1,49,0.497,0.5001,0.497,0.5034,0.978
Lasso-theta,split2,TP53,PDS_L2,49,0.4983,0.5001,0.4966,0.5034,0.879
Lasso-esm,split2,TP53,PDS_cos,49,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,TP53,PDS_L1,49,0.5,0.5,0.5,0.5,1.0
Lasso-esm,split2,TP53,PDS_L2,49,0.5,0.5,0.5,0.5,1.0
Lasso-esm+theta,split2,TP53,PDS_cos,49,0.5013,0.5,0.4974,0.503,0.207
Lasso-esm+theta,split2,TP53,PDS_L1,49,0.497,0.5001,0.497,0.5034,0.978
Lasso-esm+theta,split2,TP53,PDS_L2,49,0.4983,0.5,0.4966,0.5034,0.853
RF-theta,split2,TP53,PDS_cos,49,0.5055,0.4997,0.4724,0.5264,0.326
RF-theta,split2,TP53,PDS_L1,49,0.5149,0.4999,0.4719,0.5306,0.162
RF-theta,split2,TP53,PDS_L2,49,0.506,0.4997,0.4724,0.5255,0.34
RF-esm,split2,TP53,PDS_cos,49,0.4983,0.5003,0.4851,0.5157,0.616
RF-esm,split2,TP53,PDS_L1,49,0.4902,0.5006,0.4809,0.5196,0.842
RF-esm,split2,TP53,PDS_L2,49,0.4962,0.4995,0.4825,0.5166,0.647
RF-esm+theta,split2,TP53,PDS_cos,49,0.4923,0.4999,0.483,0.5157,0.81
RF-esm+theta,split2,TP53,PDS_L1,49,0.4957,0.5,0.4796,0.5196,0.686
RF-esm+theta,split2,TP53,PDS_L2,49,0.4945,0.4998,0.4821,0.5174,0.717
GBoost-theta,split2,TP53,PDS_cos,49,0.5026,0.4996,0.4498,0.5498,0.455
