perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,574.766,3908.76
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,76.3766,3415.86
"Lapatinib (GW-572016) Ditosylate | 1000.0",False,False,False,2086.05,9419.06
"Lapatinib (GW-572016) Ditosylate | 10000.0",False,False,False,-664.182,1393.09
"Lenalidomide (CC-5013) | 10.0",False,False,False,-473.106,1419.19
"Lenalidomide (CC-5013) | 100.0",False,False,False,887.153,8607.77
"Lenalidomide (CC-5013) | 1000.0",False,False,False,449.838,4827.7
"Lenalidomide (CC-5013) | 10000.0",False,False,False,-274.381,1410.27
"Linifanib (ABT-869) | 10.0",False,False,False,72.639,2148.02
"Linifanib (ABT-869) | 100.0",False,False,False,389.557,3704.14
"Linifanib (ABT-869) | 1000.0",False,False,False,-474.831,2747.34
"Linifanib (ABT-869) | 10000.0",False,False,False,1162.32,3984.65
"Lomustine  | 10.0",False,False,False,640.743,3596.64
"Lomustine  | 100.0",False,False,False,-70.7361,2781.07
"Lomustine  | 1000.0",False,False,False,-256.261,3017.71
"Lomustine  | 10000.0",False,False,False,-692.156,1435.83
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,-190.922,3436.24
"M344 | 10.0",False,False,False,79.1303,4749.34
"M344 | 100.0",False,False,False,-250.505,2065.4
"MC1568 | 10.0",False,False,False,433.467,2377.13
"MC1568 | 100.0",False,False,False,217.813,3310.88
"MC1568 | 1000.0",False,False,False,-187.747,1864.45
"MC1568 | 10000.0",False,False,False,144.603,2318.34
"MK-0752 | 10.0",False,False,False,775.932,6009.07
"MK-0752 | 100.0",False,False,False,957.599,10586
"MK-0752 | 1000.0",False,False,False,348.453,5065.01
"MK-0752 | 10000.0",False,False,False,196.059,4129.08
"MK-5108 (VX-689) | 10.0",False,False,False,331.977,2055.57
"MK-5108 (VX-689) | 100.0",False,False,False,397.345,5182.85
"MK-5108 (VX-689) | 1000.0",False,False,False,3166.55,5991.25
"MLN8054 | 10000.0",False,False,False,930.79,4155.98
"Maraviroc | 10.0",False,False,False,1218.05,5992.72
"Maraviroc | 100.0",False,False,False,-480.033,2150.11
"Maraviroc | 1000.0",False,False,False,-282.107,2880.55
"Maraviroc | 10000.0",False,False,False,369.2,2965.69
"Meprednisone | 10.0",False,False,False,1446.07,4942.5
"Meprednisone | 100.0",False,False,False,575.273,4488.51
"Meprednisone | 1000.0",False,False,False,4997.18,23001.8
"Meprednisone | 10000.0",False,False,False,-444.442,3204.54
"Mercaptopurine (6-MP) | 10.0",False,False,False,1420.97,6267.45
"Mercaptopurine (6-MP) | 100.0",False,False,False,3039.4,7878.7
"Mercaptopurine (6-MP) | 1000.0",False,False,False,-29.18,2941.4
"Mesna  | 10.0",False,False,False,-390.893,1868.47
"Mesna  | 100.0",False,False,False,-133.542,1861.8
"Mesna  | 1000.0",False,False,False,-350.014,1737.93
"Mesna  | 10000.0",False,False,False,1314.93,6071.09
"Mocetinostat (MGCD0103) | 10.0",False,False,False,1390.42,12203.9
"Mocetinostat (MGCD0103) | 100.0",False,False,False,-428.516,3113.18
"Momelotinib (CYT387) | 10.0",False,False,False,1496.52,7184.08
"Momelotinib (CYT387) | 100.0",False,False,False,-882.613,614.484
"Momelotinib (CYT387) | 1000.0",False,False,False,-661.953,1089.89
"Motesanib Diphosphate (AMG-706) | 10.0",False,False,False,-548.424,1676.45
"Motesanib Diphosphate (AMG-706) | 100.0",False,False,False,-255.684,3022.36
"Motesanib Diphosphate (AMG-706) | 1000.0",False,False,False,-38.2552,5006.34
"Motesanib Diphosphate (AMG-706) | 10000.0",False,False,False,260.382,4501.8
