perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Momelotinib (CYT387) | 10.0",False,False,False,-1894.06,13555.3
"Momelotinib (CYT387) | 100.0",False,False,False,6786.83,24167.8
"Momelotinib (CYT387) | 1000.0",False,False,False,-707.888,27321.8
"Motesanib Diphosphate (AMG-706) | 10.0",False,False,False,2512.22,21347.7
"Motesanib Diphosphate (AMG-706) | 100.0",False,False,False,906.678,19141.8
"Motesanib Diphosphate (AMG-706) | 1000.0",False,False,False,7759.94,27720
"Motesanib Diphosphate (AMG-706) | 10000.0",False,False,False,5328.39,28665.1
"NVP-BSK805 2HCl | 10.0",False,False,False,-3115.09,10779.1
"NVP-BSK805 2HCl | 100.0",False,False,False,6874.66,56400.3
"NVP-BSK805 2HCl | 1000.0",False,False,False,16173.1,59916
"NVP-BSK805 2HCl | 10000.0",False,False,False,70.82,22876.7
"Navitoclax (ABT-263) | 10.0",False,False,False,41774.6,119224
"Navitoclax (ABT-263) | 100.0",False,False,False,764.153,25001.2
"Navitoclax (ABT-263) | 1000.0",False,False,False,2700.67,25192
"Nilotinib (AMN-107) | 10.0",False,False,False,7297.97,34629.3
"Nilotinib (AMN-107) | 100.0",False,False,False,13776.9,41509.5
"Nilotinib (AMN-107) | 1000.0",False,False,False,4430.61,43712.6
"Nilotinib (AMN-107) | 10000.0",False,False,False,2383.74,18902.8
"Nintedanib (BIBF 1120) | 10.0",False,False,False,-1413.73,13926.5
"Nintedanib (BIBF 1120) | 1000.0",False,False,False,10676.9,48121.2
"Obatoclax Mesylate (GX15-070) | 10.0",False,False,False,2404.75,21318.2
"Obatoclax Mesylate (GX15-070) | 100.0",False,False,False,17686.3,24879
"Obatoclax Mesylate (GX15-070) | 1000.0",False,False,False,13738,79605.9
"Ofloxacin | 10.0",False,False,False,3122.38,37182
"Ofloxacin | 100.0",False,False,False,5662.77,26448.4
"Ofloxacin | 1000.0",False,False,False,-3135.91,13495.6
"Ofloxacin | 10000.0",False,False,False,3089.31,26312.9
"PCI-34051 | 10.0",False,False,False,32.0687,24340.7
"PCI-34051 | 100.0",False,False,False,6220.36,25091
